,obsid,fitsname,snrg,snrr,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_obs,dec_obs,gaia_source_id,gaia_g_mean_mag,figname,R_mean,R_mean_err,V_mean,V_mean_err,H_mean_tri,H_mean_tri_err,K_mean_tri,K_mean_tri_err,S_tri,S_tri_err,S_MWL,S_MWL_err,H_mean_rec,H_mean_rec_err,K_mean_rec,K_mean_rec_err,S_rec,S_rec_err,condition_tag
1102,1301077,spec-55863-B6302_sp01-077.fits,54.07,98.46,5871.78,38.16,4.29,0.054,0.18,0.033,-24.56,5.13,357.194067,26.8855,2.8530034645604884e+18,13.751381,CaIIHK_obsid-001301077_spec-55863-B6302_sp01-077.png,1051.935563,10.09635,808.23401,11.879886,228.333013,38.349017,149.19041,44.627063,0.202951,0.031678,0.159276,0.024861,226.515959,49.159551,147.678085,57.229995,0.201161,0.040593, 
1103,1301119,spec-55863-B6302_sp01-119.fits,62.58,106.81,5903.8,28.96,4.384,0.041,-0.458,0.025,-14.21,3.87,357.658574,26.943668,2.8544605923450337e+18,13.379279,CaIIHK_obsid-001301119_spec-55863-B6302_sp01-119.png,1445.7391,10.734575,1157.726851,12.536551,413.053542,39.03959,306.288124,33.474102,0.276302,0.01983,0.216841,0.015563,411.135142,50.099317,309.290311,42.800842,0.276718,0.02537, 
1104,1301121,spec-55863-B6302_sp01-121.fits,61.8,98.71,6177.9,29.8,4.102,0.042,0.013,0.025,-13.47,3.98,357.833599,26.974958,2.8544593210347663e+18,13.514506,CaIIHK_obsid-001301121_spec-55863-B6302_sp01-121.png,1190.376483,9.615433,970.769985,11.33977,278.850339,27.699595,186.461405,30.692988,0.215308,0.019188,0.168974,0.015059,276.171224,35.369783,180.529792,39.250105,0.211323,0.024491, 
1105,1301168,spec-55863-B6302_sp01-168.fits,56.4,107.7,5533.94,31.4,4.238,0.045,0.163,0.027,-88.28,4.21,357.270128,27.325548,2.854532060600811e+18,13.80121,CaIIHK_obsid-001301168_spec-55863-B6302_sp01-168.png,808.843771,8.37939,542.244032,9.847698,101.173488,31.236701,88.464118,31.55581,0.140359,0.032891,0.110154,0.025813,99.321683,39.65301,89.471447,39.862735,0.139734,0.041637, 
1106,1301196,spec-55863-B6302_sp01-196.fits,59.2,117.61,5235.28,30.07,4.556,0.043,-0.353,0.026,-53.25,4.02,358.067086,26.567581,2.8542459814191124e+18,13.59792,CaIIHK_obsid-001301196_spec-55863-B6302_sp01-196.png,993.865501,9.912734,691.11265,11.57426,165.434026,31.508668,192.273728,32.339078,0.212292,0.026865,0.166607,0.021084,159.556021,40.315712,192.817095,41.35929,0.209126,0.03433, 
1107,1301218,spec-55863-B6302_sp01-218.fits,65.64,107.01,6342.88,27.86,4.103,0.039,-0.444,0.024,-22.15,3.72,357.15021,26.512289,2.8529238186869053e+18,13.311204,CaIIHK_obsid-001301218_spec-55863-B6302_sp01-218.png,1793.064838,11.935951,1474.065168,13.977904,355.528769,32.447922,328.32085,36.092135,0.209312,0.014902,0.164268,0.011695,346.711472,41.449478,323.66018,46.148238,0.205187,0.019021, 
1108,1301224,spec-55863-B6302_sp01-224.fits,54.72,115.11,5161.01,33.32,4.613,0.048,-0.035,0.029,-12.52,4.48,357.130475,26.640518,2.852972781314135e+18,13.710202,CaIIHK_obsid-001301224_spec-55863-B6302_sp01-224.png,763.172707,9.39146,460.184879,11.445339,230.971907,30.093682,152.006477,32.615297,0.313055,0.036473,0.245686,0.028624,223.093905,38.490095,153.124021,41.68391,0.307529,0.046527, 
1109,1302013,spec-55863-B6302_sp02-013.fits,56.47,95.95,5673.31,32.83,4.34,0.047,0.125,0.028,-38.04,4.4,356.2342,26.966591,2.8650167286054405e+18,13.829829,CaIIHK_obsid-001302013_spec-55863-B6302_sp02-013.png,813.035719,6.583859,597.241924,7.253903,139.798047,17.689906,132.082488,19.730973,0.192785,0.018838,0.151298,0.014784,132.458229,22.586149,129.21803,24.862316,0.185549,0.023853, 
1110,1302047,spec-55863-B6302_sp02-047.fits,64.33,97.85,6387.24,28.8,4.231,0.041,-0.04,0.025,-1.89,3.84,355.567084,27.497021,2.8652932214206505e+18,13.88853,CaIIHK_obsid-001302047_spec-55863-B6302_sp02-047.png,1056.80825,6.381943,870.187726,7.204745,206.707257,16.596298,197.601668,17.668487,0.209813,0.012623,0.164661,0.009907,203.293844,21.173546,192.977914,22.568353,0.205642,0.016092, 
1111,1302078,spec-55863-B6302_sp02-078.fits,81.37,121.89,6358.85,28.32,4.229,0.04,-0.357,0.024,4.74,3.83,355.619934,27.208881,2.865178700413939e+18,13.513951,CaIIHK_obsid-001302078_spec-55863-B6302_sp02-078.png,1721.371805,7.870441,1471.998708,8.861362,395.833469,18.345598,342.586562,21.329186,0.231235,0.008852,0.181473,0.006947,386.858891,23.354238,337.40836,27.298294,0.226803,0.011281, 
