,indice_i,indice_j,sln_1,sln_2
779,13,73,,
780,13,74,,
781,13,77,,
782,13,78,,
783,13,79,,
784,13,80,,
785,13,82,,
786,13,83,,
787,13,84,,
788,13,85,,
789,13,86,,
790,13,101,,
791,13,102,,
792,13,120,,
793,13,125,,
794,13,126,,
795,13,127,,
796,13,128,,
797,13,136,,
798,13,139,,
799,13,141,,
800,13,144,,
801,13,150,,
802,13,151,,
803,13,152,,
804,13,153,,
805,13,168,,
806,13,171,,
807,13,172,,
808,13,173,,
809,13,174,,
810,13,175,,
811,13,176,,
812,13,177,,
813,13,178,,
814,13,179,,
815,13,181,,
816,13,184,,
817,13,187,,
818,13,192,,
819,13,194,,
820,13,203,,
821,13,204,,
822,14,0,,
823,14,1,,
824,14,3,,
825,14,4,,
826,14,10,,
827,14,12,,
828,14,13,,
829,14,14,,
830,14,15,,
831,14,17,,
832,14,20,,
833,14,22,,
834,14,25,,
835,14,32,,
836,14,36,,
837,14,39,,
838,14,46,,
839,14,47,,
840,14,49,,
841,14,54,,
842,14,55,,
843,14,56,,
844,14,57,,
845,14,58,,
846,14,61,,
847,14,63,,
848,14,64,,
849,14,67,,
850,14,68,,
851,14,70,,
852,14,71,,
853,14,72,,
854,14,73,,
855,14,75,,
856,14,78,,
857,14,79,,
858,14,80,,
859,14,82,,
860,14,84,,
861,14,85,,
862,14,100,,
863,14,106,,
864,14,116,,
865,14,118,,
866,14,125,,
867,14,126,,
868,14,127,,
869,14,128,,
870,14,129,,
871,14,135,,
872,14,136,,
873,14,138,,
874,14,139,,
875,14,145,,
876,14,150,,
877,14,151,,
878,14,163,,
879,14,168,,
880,14,169,,
881,14,170,,
882,14,172,,
883,14,173,,
884,14,174,,
885,14,175,,
886,14,176,,
887,14,177,,
888,14,178,,
889,14,179,,
890,14,182,,
891,14,183,,
892,14,184,,
893,14,185,,
894,14,188,,
895,14,189,,
896,14,191,,
897,14,192,,
898,14,193,,
899,14,203,,
900,14,204,,
901,15,0,,
902,15,1,,
903,15,12,,
904,15,15,,
905,15,19,,
906,15,20,,
907,15,21,,
908,15,22,,
909,15,23,,
910,15,32,,
911,15,34,,
912,15,45,,
913,15,46,,
914,15,47,,
915,15,57,,
916,15,58,,
917,15,61,,
918,15,69,,
919,15,70,,
920,15,71,,
921,15,72,,
922,15,73,,
923,15,74,,
924,15,76,,
925,15,78,,
926,15,79,,
927,15,80,,
928,15,83,,
929,15,101,,
930,15,115,,
931,15,116,,
932,15,117,,
933,15,125,,
934,15,129,,
935,15,130,,
936,15,131,,
937,15,134,,
938,15,135,,
939,15,136,,
940,15,140,,
941,15,144,,
942,15,145,,
943,15,146,,
944,15,147,,
945,15,150,,
946,15,152,,
947,15,153,,
948,15,168,,
949,15,170,,
950,15,171,,
951,15,172,,
952,15,173,,
953,15,174,,
954,15,175,,
955,15,177,,
956,15,178,,
957,15,180,,
958,15,182,,
959,15,183,,
960,15,184,,
961,15,185,,
962,15,186,,
963,15,187,,
964,15,188,,
965,15,191,,
966,15,192,,
967,15,193,,
968,15,194,,
969,15,195,,
970,15,200,,
971,15,202,,
972,15,203,,
973,15,204,,
974,16,1,,
975,16,5,,
976,16,23,,
977,16,27,,
978,16,28,,
979,16,46,,
980,16,53,,
981,16,57,,
982,16,58,,
983,16,59,,
984,16,62,,
985,16,66,,
986,16,67,,
987,16,68,,
988,16,69,,
989,16,70,,
990,16,71,,
991,16,72,,
992,16,73,,
993,16,74,,
994,16,75,,
995,16,76,,
996,16,77,,
997,16,78,,
998,16,80,,
999,16,83,,
1000,16,89,,
1001,16,91,,
1002,16,96,,
1003,16,101,,
1004,16,102,,
1005,16,103,,
1006,16,114,,
1007,16,115,,
1008,16,116,,
1009,16,117,,
1010,16,124,,
1011,16,125,,
1012,16,127,,
1013,16,128,,
1014,16,130,,
1015,16,131,,
1016,16,132,,
1017,16,134,,
1018,16,135,,
1019,16,136,,
1020,16,138,,
1021,16,144,,
1022,16,145,,
1023,16,150,,
1024,16,158,,
1025,16,159,,
1026,16,168,,
1027,16,169,,
1028,16,170,,
1029,16,173,,
1030,16,175,,
1031,16,176,,
1032,16,177,,
1033,16,182,,
1034,16,183,,
1035,16,184,,
1036,16,185,,
1037,16,186,,
1038,16,193,,
1039,16,198,,
1040,17,1,,
1041,17,2,,
1042,17,9,,
1043,17,11,,
1044,17,12,,
1045,17,25,,
1046,17,26,,
1047,17,32,,
1048,17,33,,
1049,17,46,,
1050,17,47,,
1051,17,58,,
1052,17,59,,
1053,17,61,,
1054,17,62,,
1055,17,66,,
1056,17,67,,
1057,17,68,,
1058,17,69,,
1059,17,70,,
1060,17,71,,
1061,17,72,,
1062,17,73,,
1063,17,74,,
1064,17,75,,
1065,17,77,,
1066,17,88,,
1067,17,90,,
1068,17,91,,
1069,17,92,,
1070,17,93,,
1071,17,94,,
1072,17,95,,
1073,17,101,,
1074,17,102,,
1075,17,112,,
1076,17,114,,
1077,17,115,,
1078,17,122,,
1079,17,123,,
1080,17,124,,
1081,17,125,,
1082,17,126,,
1083,17,127,,
1084,17,128,,
1085,17,129,,
1086,17,132,,
1087,17,135,,
1088,17,136,,
1089,17,138,,
1090,17,141,,
1091,17,142,,
1092,17,144,,
1093,17,149,,
1094,17,157,,
1095,17,158,,
1096,17,159,,
1097,17,160,,
1098,17,168,,
1099,17,169,,
1100,17,170,,
1101,17,171,,
1102,17,183,,
1103,17,185,,
1104,17,186,,
1105,17,192,,
1106,17,196,,
1107,17,197,,
1108,17,199,,
1109,17,200,,
1110,17,201,,
1111,18,11,,
1112,18,13,,
1113,18,14,,
1114,18,16,,
1115,18,19,,
1116,18,29,,
1117,18,32,,
1118,18,33,,
1119,18,35,,
1120,18,47,,
1121,18,50,,
1122,18,52,,
1123,18,58,,
1124,18,60,,
1125,18,65,,
1126,18,66,,
1127,18,67,,
1128,18,68,,
1129,18,69,,
1130,18,70,,
1131,18,71,,
1132,18,72,,
1133,18,78,,
1134,18,79,,
1135,18,80,,
1136,18,83,,
1137,18,84,,
1138,18,85,,
1139,18,86,,
1140,18,87,,
1141,18,90,,
1142,18,91,,
1143,18,92,,
1144,18,97,,
1145,18,101,,
1146,18,102,,
1147,18,103,,
1148,18,110,,
1149,18,111,,
1150,18,112,,
1151,18,113,,
1152,18,114,,
1153,18,122,,
1154,18,123,,
1155,18,124,,
1156,18,125,,
1157,18,126,,
1158,18,127,,
1159,18,140,,
1160,18,141,,
1161,18,142,,
1162,18,144,,
1163,18,149,,
1164,18,150,,
1165,18,151,,
1166,18,155,,
1167,18,156,,
1168,18,157,,
1169,18,158,,
1170,18,159,,
1171,18,165,,
1172,18,166,,
1173,18,168,,
1174,18,169,,
1175,18,171,,
1176,18,172,,
1177,18,173,,
1178,18,174,,
1179,18,198,,
1180,18,202,,
1181,18,203,,
1182,18,204,,
1183,19,9,,
1184,19,13,,
1185,19,14,,
1186,19,16,,
1187,19,31,,
1188,19,32,,
1189,19,33,,
1190,19,35,,
1191,19,36,,
1192,19,47,,
1193,19,48,,
1194,19,50,,
1195,19,51,,
1196,19,52,,
1197,19,58,,
1198,19,59,,
1199,19,60,,
1200,19,66,,
1201,19,67,,
1202,19,68,,
1203,19,69,,
1204,19,70,,
1205,19,71,,
1206,19,72,,
1207,19,81,,
1208,19,82,,
1209,19,83,,
1210,19,84,,
1211,19,85,,
1212,19,86,,
1213,19,87,,
1214,19,88,,
1215,19,97,,
1216,19,101,,
1217,19,102,,
1218,19,103,,
1219,19,104,,
1220,19,105,,
1221,19,108,,
1222,19,109,,
1223,19,110,,
1224,19,111,,
1225,19,112,,
1226,19,113,,
1227,19,123,,
1228,19,126,,
1229,19,132,,
1230,19,135,,
1231,19,140,,
1232,19,142,,
1233,19,143,,
1234,19,148,,
1235,19,149,,
1236,19,150,,
1237,19,151,,
1238,19,153,,
1239,19,154,,
1240,19,155,,
1241,19,156,,
1242,19,157,,
1243,19,167,,
1244,19,170,,
1245,19,171,,
1246,19,172,,
1247,19,175,,
1248,19,202,,
1249,19,203,,
1250,19,204,,
1251,20,12,,
1252,20,14,,
1253,20,15,,
1254,20,16,,
1255,20,29,,
1256,20,30,,
1257,20,31,,
1258,20,32,,
1259,20,33,,
1260,20,34,,
1261,20,48,,
1262,20,49,,
1263,20,50,,
1264,20,51,,
1265,20,56,,
1266,20,58,,
1267,20,59,,
1268,20,60,,
1269,20,61,,
1270,20,63,,
1271,20,66,,
1272,20,67,,
1273,20,68,,
1274,20,69,,
1275,20,72,,
1276,20,73,,
1277,20,74,,
1278,20,83,,
1279,20,84,,
1280,20,85,,
1281,20,86,,
1282,20,87,,
1283,20,88,,
1284,20,90,,
1285,20,92,,
1286,20,93,,
1287,20,97,,
1288,20,99,,
1289,20,102,,
1290,20,103,,
1291,20,104,,
1292,20,105,,
1293,20,106,,
1294,20,107,,
1295,20,108,,
1296,20,109,,
1297,20,110,,
1298,20,111,,
1299,20,112,,
1300,20,125,,
1301,20,126,,
1302,20,133,,
1303,20,136,,
1304,20,137,,
1305,20,138,,
1306,20,139,,
1307,20,146,,
1308,20,150,,
1309,20,151,,
1310,20,152,,
1311,20,153,,
1312,20,154,,
1313,20,155,,
1314,20,156,,
1315,20,168,,
1316,20,169,,
1317,20,170,,
1318,20,171,,
1319,20,173,,
1320,20,190,,
1321,20,191,,
1322,20,203,,
1323,20,204,,
1324,21,12,,
1325,21,13,,
1326,21,14,,
1327,21,15,,
1328,21,16,,
1329,21,19,,
1330,21,29,,
1331,21,31,,
1332,21,33,,
1333,21,34,,
1334,21,43,,
1335,21,48,,
1336,21,49,,
1337,21,50,,
1338,21,51,,
1339,21,52,,
1340,21,56,,
1341,21,61,,
1342,21,62,,
1343,21,66,,
1344,21,67,,
1345,21,69,,
1346,21,70,,
1347,21,71,,
1348,21,78,,
1349,21,85,,
1350,21,86,,
1351,21,87,,
1352,21,88,,
1353,21,89,,
1354,21,90,,
1355,21,92,,
1356,21,93,,
1357,21,102,,
1358,21,103,,
1359,21,104,,
1360,21,105,,
1361,21,106,,
1362,21,107,,
1363,21,108,,
1364,21,109,,
1365,21,122,,
1366,21,124,,
1367,21,135,,
1368,21,136,,
1369,21,137,,
1370,21,138,,
1371,21,144,,
1372,21,145,,
1373,21,149,,
1374,21,163,,
1375,21,166,,
1376,21,167,,
1377,21,190,,
1378,21,192,,
1379,21,193,,
1380,21,203,,
1381,21,204,,
1382,22,3,,
1383,22,4,,
1384,22,5,,
1385,22,6,,
1386,22,13,,
1387,22,18,,
1388,22,19,,
1389,22,20,,
1390,22,21,,
1391,22,22,,
1392,22,23,,
1393,22,24,,
1394,22,31,,
1395,22,32,,
1396,22,43,,
1397,22,45,,
1398,22,46,,
1399,22,48,,
1400,22,49,,
1401,22,50,,
1402,22,51,,
1403,22,62,,
1404,22,63,,
1405,22,66,,
1406,22,68,,
1407,22,69,,
1408,22,75,,
1409,22,76,,
1410,22,78,,
1411,22,86,,
1412,22,87,,
1413,22,88,,
1414,22,89,,
1415,22,90,,
1416,22,92,,
1417,22,93,,
1418,22,94,,
1419,22,96,,
1420,22,102,,
1421,22,121,,
1422,22,125,,
1423,22,126,,
1424,22,131,,
1425,22,133,,
1426,22,134,,
1427,22,135,,
1428,22,136,,
1429,22,137,,
1430,22,138,,
1431,22,146,,
1432,22,151,,
1433,22,152,,
1434,22,162,,
1435,22,166,,
1436,22,167,,
1437,22,192,,
1438,22,194,,
1439,22,195,,
1440,22,203,,
1441,22,204,,
1442,23,5,,
1443,23,15,,
1444,23,16,,
1445,23,17,,
1446,23,21,,
1447,23,22,,
1448,23,23,,
1449,23,24,,
1450,23,25,,
1451,23,36,,
1452,23,39,,
1453,23,42,,
1454,23,43,,
1455,23,44,,
1456,23,45,,
1457,23,46,,
1458,23,47,,
1459,23,48,,
1460,23,49,,
1461,23,53,,
1462,23,55,,
1463,23,57,,
1464,23,58,,
1465,23,59,,
1466,23,62,,
1467,23,63,,
1468,23,64,,
1469,23,67,,
1470,23,71,,
1471,23,78,,
1472,23,79,,
1473,23,89,,
1474,23,94,,
